timestamp,host_name,ip,avg_latency_ms,packet_loss_percent,status
2026-05-12 00:35:17,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:35:20,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:36:23,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:36:26,Cloudflare DNS,1.1.1.1,16,0,OK
2026-05-12 00:36:29,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:36:32,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:36:36,Quad9 DNS,9.9.9.9,44,0,OK
2026-05-12 00:37:39,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:37:42,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:37:45,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:37:48,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:37:51,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:38:54,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:38:57,Cloudflare DNS,1.1.1.1,16,0,OK
2026-05-12 00:39:00,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:39:03,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:39:06,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:40:09,Google DNS,8.8.8.8,27,0,OK
2026-05-12 00:40:12,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:40:15,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:40:18,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:40:22,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:41:25,Google DNS,8.8.8.8,27,0,OK
2026-05-12 00:41:28,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:41:31,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:41:34,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:41:37,Quad9 DNS,9.9.9.9,45,0,OK
